proj	ts	feat	phase	stage	outcome	halt	bud_prr	bud_min	natt
PRPs-agentic-eng	-	figma-quota-resilience	3	implement	HALT:DISPUTE_UPHELD_TEST_WRONG	DISPUTE_UPHELD_TEST_WRONG	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	implement	TEST_CONTRACT_DISPUTE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	implement	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	plan	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	plan	CHANGES_REQUESTED_ORCHESTRATOR_CAUGHT	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	resume_detection	STATE_MACHINE_RELOCATED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	test	GREEN	-	2	240	1
PRPs-agentic-eng	-	figma-quota-resilience	3	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	worktree	REUSED_IDEMPOTENT	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	worktree	REUSED_IDEMPOTENT	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	d8	COMPLETE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	implement	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	plan	APPROVED	-	2	240	4
PRPs-agentic-eng	-	figma-quota-resilience	4	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	4	test	GREEN	-	2	240	1
PRPs-agentic-eng	-	figma-quota-resilience	4	test_after	APPROVED	-	2	240	2
PRPs-agentic-eng	-	figma-quota-resilience	4	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	d8	COMPLETE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	implement	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	plan	APPROVED	-	2	240	3
PRPs-agentic-eng	-	figma-quota-resilience	5	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	5	test	GREEN	-	2	240	1
PRPs-agentic-eng	-	figma-quota-resilience	5	test_after	APPROVED	-	2	240	1
PRPs-agentic-eng	-	figma-quota-resilience	5	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	1	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	1	plan	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	1	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	1	test	GREEN (recovered)	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	1	test_after	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	1	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	2	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	2	plan	APPROVED	-	2	240	4
PRPs-agentic-eng	-	implement-phase-docs-sync	2	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	2	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	2	test_after	APPROVED	-	2	240	1
PRPs-agentic-eng	-	implement-phase-docs-sync	2	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	2	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	3	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	implement-phase-docs-sync	3	plan	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	3	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	3	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	3	test_after	APPROVED	-	2	240	1
PRPs-agentic-eng	-	implement-phase-docs-sync	3	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	3	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	4	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	implement-phase-docs-sync	4	plan	APPROVED	-	2	240	3
PRPs-agentic-eng	-	implement-phase-docs-sync	4	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	4	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	4	test_after	APPROVED	-	2	240	4
PRPs-agentic-eng	-	implement-phase-docs-sync	4	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	implement-phase-docs-sync	4	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	1	worktree	CREATED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	2	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	plan-review-materiality	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	3	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	plan-review-materiality	4	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	1	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	2	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	3	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	3	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	3	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	4	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	4	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-approve-command	4	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	1	worktree	CREATED	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-commit-command	2	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	1	test	skipped_command_absent	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-execute-dogfood	2	test	skipped_command_absent	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	1	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	3	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	3	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	4	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-plan-prd-less-mode	4	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	plan	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	1	worktree	skipped_cwd_execution	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	plan	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-pr-command	2	worktree	skipped_cwd_execution	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-qa-report-command	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	1	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	1	plan	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	2	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	2	plan	APPROVED	-	2	240	2
PRPs-agentic-eng	-	relay-worktree	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	3	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	relay-worktree	3	plan	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	3	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	3	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	4	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	4	plan	APPROVED	-	2	240	2
PRPs-agentic-eng	-	relay-worktree	4	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	4	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	5	complete	complete	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	5	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	relay-worktree	5	plan	APPROVED	-	2	240	2
PRPs-agentic-eng	-	relay-worktree	5	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	relay-worktree	5	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	1	test	skipped_no_test_suite_in_relay_repo	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	2	test	skipped_no_test_suite_in_relay_repo	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	3	test	skipped_no_test_suite_in_relay_repo	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	4	test	skipped_no_test_suite_in_relay_repo	-	2	240	-
PRPs-agentic-eng	-	tdd-writer-reviewer	5	plan	skipped_operator_action_external_repos	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	test_review	skipped_no_test_framework_inherited	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	1	worktree	CREATED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	test_review	skipped_no_test_framework_inherited	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	2	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	test_review	skipped_no_test_framework_inherited	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	3	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	test_review	skipped_no_test_framework_inherited	-	2	240	-
PRPs-agentic-eng	-	test-frameworks-empty-self-skip	4	worktree	REUSED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	usage-metrics	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	test_review	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	1	worktree	FALLBACK_CWD	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	2	implement	APPROVED	-	2	240	2
PRPs-agentic-eng	-	usage-metrics	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	2	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	2	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	3	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	usage-metrics	3	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	3	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	3	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	4	implement	APPROVED	-	2	240	1
PRPs-agentic-eng	-	usage-metrics	4	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	4	test	GREEN	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	4	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	usage-metrics	5	plan	HALT:FAILED_PHASE_SCOPE_UNPLANNABLE	FAILED_PHASE_SCOPE_UNPLANNABLE	2	240	-
PRPs-agentic-eng	-	validation-suite	-	test	GREEN	-	-	-	-
PRPs-agentic-eng	-	validation-suite	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	validation-suite	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	validation-suite	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	validation-suite	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	validation-suite	5	complete	complete	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-A	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-A	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-A	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-A	1	test	skipped_no_test_framework	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-A	1	worktree	CREATED	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-B	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-B	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-B	1	tdd	skipped_tdd_false	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-B	1	test	FAILED_INFRA_UNRECOVERABLE	-	2	240	-
PRPs-agentic-eng	-	worktree-dogfood-B	1	worktree	CREATED	-	2	240	-
